state,date_s,date_e,pop_size,sample_size,pos_count,prev_est,prev_lb,prev_ub,date
HI,2020-10-29,2020-11-15,1422029,1064,30.856,0.029,0.0166,0.0468,2020-11-06
IA,2020-10-28,2020-11-13,3132499,1193,141.967,0.119,0.0937,0.1458,2020-11-05
ID,2020-10-30,2020-11-13,1687809,1302,82.026,0.063,0.0419,0.0896,2020-11-06
IL,2020-10-26,2020-11-07,12821497,1557,200.853,0.129,0.1087,0.1494,2020-11-01
IN,2020-10-29,2020-11-11,6637426,1222,76.986,0.063,0.0425,0.0859,2020-11-04
KS,2020-11-01,2020-11-15,2908776,1317,72.435,0.055,0.0417,0.0706,2020-11-08
KY,2020-10-26,2020-11-10,4440204,1588,119.1,0.075,0.0588,0.0943,2020-11-03
LA,2020-10-28,2020-11-14,4663616,1316,127.652,0.097,0.0749,0.1178,2020-11-05
MA,2020-11-02,2020-11-11,6830193,1115,42.37,0.038,0.0248,0.052,2020-11-06
MD,2020-10-29,2020-11-11,6003435,1312,94.464,0.072,0.053,0.0936,2020-11-04
ME,2020-11-02,2020-11-13,1332813,995,9.95,0.01,0.0033,0.0179,2020-11-08
MI,2020-10-26,2020-11-13,9957488,1616,138.976,0.086,0.0643,0.1105,2020-11-04
MN,2020-10-29,2020-11-13,5527358,1303,109.452,0.084,0.0679,0.1014,2020-11-06
MO,2020-11-02,2020-11-10,6090062,1507,91.927,0.061,0.0432,0.0797,2020-11-06
MS,2020-10-25,2020-11-09,2988762,1530,168.3,0.11,0.0931,0.1311,2020-11-02
MT,2020-10-30,2020-11-13,1041732,516,39.732,0.077,0.0498,0.11,2020-11-06
NC,2020-10-27,2020-11-10,10155624,1520,114,0.075,0.0589,0.0892,2020-11-03
ND,2020-10-26,2020-11-09,752201,39,303.03,7.77,,,2020-11-02
NE,2020-10-30,2020-11-14,1904760,1288,153.272,0.119,0.0958,0.142,2020-11-07
NH,2020-11-02,2020-11-07,1343622,1299,14.289,0.011,0.0038,0.0197,2020-11-04
NJ,2020-10-29,2020-11-11,8881845,1236,147.084,0.119,0.1004,0.1387,2020-11-04
NM,2020-10-30,2020-11-15,2092434,1337,100.275,0.075,0.0568,0.0939,2020-11-07
NV,2020-10-25,2020-11-09,2922849,1346,114.41,0.085,0.0656,0.1051,2020-11-02
NY,2020-10-30,2020-11-15,19618453,1355,176.15,0.13,0.107,0.1536,2020-11-07
OH,2020-10-25,2020-11-10,11641879,1661,121.253,0.073,0.0584,0.0879,2020-11-02
OK,2020-10-31,2020-11-13,3918137,1299,77.94,0.06,0.0455,0.077,2020-11-06
OR,2020-10-30,2020-11-13,4081943,1757,40.411,0.023,0.0118,0.0358,2020-11-06
PA,2020-10-26,2020-11-09,12791181,1553,97.839,0.063,0.0495,0.0769,2020-11-02
PR,2020-11-02,2020-11-14,3386941,1300,49.4,0.038,0.0259,0.0517,2020-11-08
RI,2020-11-02,2020-11-13,1056611,1113,37.842,0.034,0.0208,0.0492,2020-11-08
